"POLICY_ID","FULL_DOC_LINK","TITLE","DATE","SUBJECT","KEYWORDS","ABSTRACT","IS_RELEVANT"
"LEX-FAOC073370","http://extwprlegs1.fao.org/docs/pdf/per73370.pdf","Resolución Nº 387/07/OS - Modifica la Resolución Nº 028/03/OS, sobre tipificación de infracciones y sanciones de OSINERG.","2007","Energy","Institution, Legal proceedings/administrative proceedings, Inspection, Offences/penalties, Transport/storage","La presente Resolución modifica la que ordena y sistematiza el universo de hechos u omisiones, bajo el ámbito de supervisión y fiscalización institucional de OSINERG, que se configuran como infracciones administrativas debidamente tipificadas, respecto al no cumplimiento de las normas de las plantas envasadoras.",NA
"LEX-FAOC118254","http://extwprlegs1.fao.org/docs/texts/chi118254.doc","Resolución Nº 6.852 - Regula uso pecuario en campos de pastoreo cordillerano y establece normas de prevención y detección precoz de enfermedades exóticas y control de enfermedades endémicas.","2012","Livestock","Animal health, Cattle, Sheep/goats, Swine, Grazing/transhumance, Pastoralism","La presente Resolución establece los requisitos para el uso pecuario de ciertos Campos de Pastoreo Cordillerano (CPC) bajo control oficial del Servicio Agrícola y Ganadero, ubicados en la Cordillera de los Andes. Asimismo, indica los medios de identificación que deben utilizarse para los bovinos, ovinos y caprinos que se trasladen a los mencionados campos.",NA
"LEX-FAOC161386","http://extwprlegs1.fao.org/docs/pdf/chi161386.pdf","Resolución Nº 2.698 - Lista de variedades de especies frutales y vides oficialmente descritas.","2007","Cultivated plants","Fruits/edible nuts, Planting material/seeds, Viticulture/oenological practices","En el marco de la Ley de Semillas, la presente Resolución incluye las especies frutales Ciruelo, Duraznero, Manzano, Nectarino y Vid en la lista que cuenta con descripción oficial.",NA
"LEX-FAOC027959","http://extwprlegs1.fao.org/docs/texts/mex27959.doc","Modifica las Reglas de operación del Fondo de Desastres Naturales (FONDEN).","2000","Environment gen.","Disasters, Special fund, Legal proceedings/administrative proceedings, Institution","El presente Acuerdo reforma y adiciona el diverso que establece las reglas de operación del Fondo de Desastres Naturales.",NA
"LEX-FAOC017969","http://extwprlegs1.fao.org/docs/texts/mex17969.doc","NOM-129-SCFI-1998: Información comercial y etiquetado del mango.","1998","Cultivated plants","Plant production, Fruits/edible nuts, Internal trade, Packaging/labelling","Esta Norma tiene por objeto establecer la información comercial que debe contener el etiquetado del envase en el que se contiene el mango (Mangifera indica L.), para consumo humano, de origen nacional o extranjero. Se aplica al etiquetado del producto envasado denominado mango, de los grupos indostano y mulgova en todas sus variedades, que se comercialicen dentro del territorio de los Estados Unidos Mexicanos.",NA
"LEX-FAOC127708","http://extwprlegs1.fao.org/docs/pdf/per127708.pdf","Resolución Nº 178/13/OS - Modifica la Resolución Nº 659/08/OS, Procedimiento para la Elaboración de los Estudios Tarifarios sobre Aspectos Regulados de la Distribución de Gas Natural.","2013","Energy","Energy conservation/energy production, Natural gas, Subsidy/incentive, Institution, Transport/storage, Contract/agreement, Royalties/fees, Internal trade","La presente Resolución modifica el Procedimiento para la elaboración de los estudios tarifarios comprendidos en la regulación de la distribución de gas natural por red de ductos, en aspectos relacionados con el mecanismo de promoción para la conexión de consumidores residenciales, según criterios de ubicación en zonas geográficas o de determinación de los niveles socioeconómicos.",NA
"LEX-FAOC110327","http://extwprlegs1.fao.org/docs/texts/mex110327.doc","Norma Oficial Mexicana NOM-159-SEMARNAT-2011: Establece los requisitos de protección ambiental de los sistemas de lixiviación de cobre.","2012","Mineral resources, Waste & hazardous substances","Minerals, Mining, Pollution control, Hazardous waste","La presente Norma Oficial Mexicana establece las especificaciones para identificar la peligrosidad de los residuos, así como los requisitos de protección ambiental para las etapas de caracterización y preparación del sitio, proyecto, construcción, operación, cierre y monitoreo de los sistemas de lixiviación de minerales de cobre. Esta última es definida como la aplicación de un agente oxidante acuoso a un mineral con el propósito de extraer uncompuesto metálico.",NA
"LEX-FAOC027622","http://extwprlegs1.fao.org/docs/texts/mex27622.doc","Modifica la NOMEM-033-FITO-2000: Confinamiento y erradicación de brotes de la Mosca del Mediterráneo en los municipios del Estado de Chiapas.","2000","Cultivated plants","Plant protection, Hygiene/sanitary procedures, Fruits/edible nuts, Post-harvest treatment, Pests/diseases, Transport/storage","Las presentes modificaciones, disponen, entre otras cosas que los embarques de fruta fumigados en origen únicamente se podrán movilizar hacia las zonas de baja prevalencia de moscas de la fruta; y en cambio, los embarques sometidos a tratamientos hidrotérmico en origen se podrán movilizar hacia zonas libres y de baja prevalencia de mosca de la fruta.",NA
"LEX-FAOC171000","http://extwprlegs1.fao.org/docs/pdf/per171000.pdf","Resolución Nº 013-2017-MINAGRI - Crea el Grupo de Trabajo denominado Mesa Técnica de Desarrollo Forestal.","2017","Forestry, Wild species & ecosystems","Institution, Sustainable development","La presente Resolución crea el Grupo de Trabajo denominado Mesa Técnica de Desarrollo Forestal, dependiente del Ministerio de Agricultura y Riego (MINAGRI), encargado de: 1) identificar, promover y proponer acciones en materia forestal, que permitan el desarrollo forestal sostenible y la formalización de sus actores; 2) identificar oportunidades de mejora en la gestión forestal y de fauna silvestre; 3) proponer al Despacho Ministerial del MINAGRI las propuestas normativas o de gestión; 4) propon",NA
"LEX-FAOC138582","http://extwprlegs1.fao.org/docs/pdf/chi138582.pdf","Resolución Nº 2.275 - Modifica la Resolución Nº 3.138 de 1999, que establece requisito de habilitación para establecimientos de producción pecuaria que deseen exportar animales o sus productos a Chile.","2014","Livestock","Hygiene/sanitary procedures, Non-edible products, International trade","Por la presente Resolución se modifica la Resolución Nº 3.138 de 1999 (sobre habilitación para establecimientos de producción pecuaria que deseen exportar animales o sus productos a Chile). En especial se incorporan nuevas disposiciones al artículo 9º, el cual enumera los productos (tales como cueros) a los que no se aplican los requisitos en cuestión, teniendo en cuenta que el nivel de riesgo sanitario que implica la importación de ciertos productos industrializados de origen pecuario es bajo.",NA
"LEX-FAOC163557","http://extwprlegs1.fao.org/docs/pdf/mex163557.pdf","Norma Oficial Mexicana NOM-006-SEGOB-2015: Tsunamis. Características y especificaciones de prevención, alertamiento y evacuación.","2017","Environment gen.","Disasters, Early warning system/emergency intervention system, Risk assessment/management","La presente Norma Oficial establece disposiciones con el fin de proteger a la persona y a la sociedad y su entorno ante la eventualidad de los riesgos y peligros que representan los agentes perturbadores y la vulnerabilidad en el corto, mediano y largo plazo, provocada por fenómenos naturales y antropogénicos, a través de la gestión integral de riesgos y el fomento de la capacidad de adaptación, auxilio y restablecimiento en la población. La Norma establece las características y especificaciones",NA
"LEX-FAOC138408","http://extwprlegs1.fao.org/docs/texts/mex138408.doc","Acuerdo mediante el cual se expiden los costos de referencia para reforestación o restauración y su mantenimiento para compensación ambiental por cambio de uso de suelo en terrenos forestales y la metodología para su estimación.","2014","Forestry","Afforestation/reforestation, Soil conservation/soil improvement","El presente Acuerdo tiene por objeto establecer los costos de referencia para actividades de reforestación o restauración y su mantenimiento por concepto de compensación ambiental por cambio de uso del suelo en terrenos forestales. El anexo define la metodología para el cálculo de los mencionados costos de referencia.",NA
"LEX-FAOC070222","http://extwprlegs1.fao.org/docs/pdf/per70222.pdf","Resolución Nº 157/07/AG - Certificados de propiedad en casos de contratos de otorgamiento de terrenos eriazos.","2007","Land & soil","Land tenure, Abandoned land/unoccupied land, Ownership, Certification, Legal proceedings/administrative proceedings","La presente Resolución establece disposiciones relativas a la entrega de certificados de propiedad definitiva en casos de levantamiento de reserva de dominio o carga en contratos de otorgamiento de terrenos eriazos.",NA
"LEX-FAOC099457","http://extwprlegs1.fao.org/docs/pdf/per99457.pdf","Resolución Nº 054/10/AG/SENASA/DSV - Requisitos fitosanitarios para la importación de semillas de algodón procedentes de España.","2010","Cultivated plants","Plant protection, Pests/diseases, Textile plants/fibres, International trade, Planting material/seeds","La presente Resolución establece los requisitos fitosanitarios específicos de necesario cumplimiento en la importación de semillas de algodón (Gossypium spp.) procedentes de España, acompañadas de una declaración fitosanitaria que certifique que se encuentran libres de Corcyra cephalonica y Trogoderma granarium.",NA
"LEX-FAOC038345","http://extwprlegs1.fao.org/docs/texts/chi38345.doc","Decreto Nº 276 - Fija los valores de sanción de especies hidrobiológicas.","2001","Fisheries, Wild species & ecosystems","Legal proceedings/administrative proceedings, Offences/penalties, Marine fishes, Crustaceans, Molluscs, Aquatic plants, Marine mammals, Cartilaginous fishes, Endangered species","El presente Decreto fija los valores de sanción de las especies hidrobiológicas que se indican, los que servirán de unidad de cuenta para los efectos de la aplicación de las sanciones que se establecen en la Ley General de Pesca y Acuicultura.",NA
"LEX-FAOC012146","http://extwprlegs1.fao.org/docs/pdf/els12146.pdf","Decreto Legislativo Nº 202 - Ley de liquidación y disolución del Banco de Tierras.","1998","Land & soil","Institution, Credit, Transfer, Smallholders/peasants","La presente Ley, considerando que con el objeto de canalizar recursos financieros provenientes del Estado y de otras fuentes destinados a proporcionar créditos a los campesinos, agricultores en pequeño y pequeños productores para que adquieran en propiedad tierras con vocación agrícola, pecuaria o forestal, se creó el Banco de Tierras como una institución oficial de crédito descentralizadas, y que existe la necesidad de transferir inmuebles rústicos que le fueron traspasados por ministerio de la",NA
"LEX-FAOC127291","http://extwprlegs1.fao.org/docs/pdf/per127291.pdf","Ley Nº 30078 - Ley que promueve el desarrollo de Parques Industriales Tecno-ecológicos.","2013","Agricultural & rural development","Business/industry/corporations, Policy/planning, Capacity building","La presente Ley promueve y regula la creación de Parques Industriales Tecno-ecológicos (PITE), mediante propuestas públicas o privadas, como parte de la estrategia nacional de promoción de la competitividad, asociatividad y rentabilidad de las unidades productivas del sector industrial en general, incluido el agroindustrial, en un contexto de desarrollo económico y social de las regiones y de descentralización de las actividades económicas, acordes con el uso eficiente de los recursos ambientale",NA
"LEX-FAOC122062","http://extwprlegs1.fao.org/docs/texts/mex122062.doc","Aviso de Cancelación de la Norma Oficial Mexicana NOM-019-ZOO-1994, Campaña Nacional contra la garrapata Boophilus spp.","2013","Livestock","Animal health, Pests/diseases, Cattle, Disinfection/disinfestation, Quarantine","En virtud de estas disposiciones la Norma Oficial Mexicana NOM-019-ZOO-1994, que estableció la campaña nacional contra la garrapata Boophilus spp., queda sin vigencia.",NA
"LEX-FAOC140804","http://extwprlegs1.fao.org/docs/pdf/els140804.pdf","Acuerdo Nº 126 - Política Nacional de Salud 2009 - 2014.","2010","Environment gen., Food & nutrition, Water","Environmental standards, Ecosystem preservation, Disasters, Environmental planning, Environmental audit, Pollution control, Hygiene/sanitary procedures, Nutrition, Food security, Policy/planning, Breastfeeding/infant food, Food quality control/food safety, Potable water","El presente Acuerdo aprueba la Política Nacional de Salud 2009 - 2014, que tiene como objetivo garantizar el derecho a la salud a toda la población salvadoreña a través de un Sistema Nacional de Salud que fortalezca sostenidamente lo público (incluyendo a la seguridad social) y regule efectivamente lo privado; el acceso a la promoción, prevención, atención y rehabilitación de la salud; un ambiente sano y seguro, incluyendo (pero no limitándose a ello) la creación y el mantenimiento de un sistema",NA
"LEX-FAOC176744","http://extwprlegs1.fao.org/docs/pdf/per176744.pdf","Resolución Nº 263-2017-MIDIS - Manual de Operaciones del Programa Nacional Plataformas de Acción para la Inclusión Social (PAIS).","2017","Agricultural & rural development, Water","Agricultural development, Less favoured areas, Subsidy/incentive, Community management, Poverty, Potable water, Sewerage, Waste disposal","La presente Resolución aprueba el Manual de Operaciones del Programa Nacional Plataformas de Acción para la Inclusión Social (PAIS), que tiene por finalidad mejorar la calidad de vida de la población pobre y extremadamente pobre, especialmente la asentada en los centros poblados rurales o rural dispersa, coadyuvando a su desarrollo económico, social y productivo que contribuyan a su inclusión social. Se constituye en una plataforma para brindar servicios y actividades orientados a la población r",NA
"LEX-FAOC049976","http://extwprlegs1.fao.org/docs/pdf/els49976.pdf","Decreto Nº 40 - Crea el Consejo Nacional de Medio Ambiente.","2004","Environment gen.","Institution, Environmental planning","El presente Decreto crea el Consejo Nacional de Medio Ambiente (CONAMA), que tendrá como objetivo proponer, gestionar y coadyuvar con los organismos correspondientes la aprobación de políticas ambientales, emitiendo directrices que contribuyan a mantener un crecimiento económico y un desarrollo social en equilibrio con la naturaleza.",NA
"LEX-FAOC032155","http://extwprlegs1.fao.org/docs/texts/per32155.doc","Ley Nº 27171 - Ley de saneamiento y transferencia de infraestructura social financiada por el Fondo Nacional de Compensación y Desarrollo Social (FONCODES).","1999","Agricultural & rural development","Agricultural development, Financial agricultural measures, Subsidy/incentive, Non-governmental entity, Smallholders/peasants","La presente Ley declara de necesidad y utilidad públicas el saneamiento físico-legal y contable de las obras de inversión social financiadas por el Fondo Nacional de Compensación y Desarrollo Social (FONCODES) así como su transferencia en propiedad a las entidades receptoras responsables de su administración y mantenimiento. Constituyen entidades receptoras los gobiernos locales, comunidades campesinas, nativas, educativas y de salud, organizaciones sociales y organizaciones de carácter religios",NA
"LEX-FAOC134204","http://extwprlegs1.fao.org/docs/pdf/per134204.pdf","Decreto Supremo Nº 034-2014-PCM - Plan Nacional de Gestión del Riesgo de Desastres - PLANAGERD 2014-2021.","2014","Agricultural & rural development","Public health, Public participation, Capacity building, Local government, Poverty, Research, Disasters, Risk assessment/management, Institution, Early warning system/emergency intervention system","El presente Decreto Supremo aprueba el Plan Nacional de Gestión del Riesgo de Desastres – PLANAGERD 2014-2021. Las Entidades Públicas responsables de cumplir con la Política Nacional de Gestión del Riesgo de Desastres, a fin de elaborar y presentar sus evaluaciones semestrales, deben considerar como lineamientos para la formulación de sus metas concretas e indicadores de desempeño, las acciones estratégicas contenidas en el Plan.",NA
"LEX-FAOC146775","http://extwprlegs1.fao.org/docs/pdf/per146775.pdf","Resolución Nº 011/15/MINAGRI/SENASA/DSA - Requisitos sanitarios para la importación de carne deshuesada de bovino procedente del Brasil.","2015","Livestock, Food & nutrition","Cattle, Meat, International trade, Hygiene/sanitary procedures, Animal health, Pests/diseases","La presente Resolución aprueba los requisitos sanitarios específicos de cumplimiento obligatorio en la importación de carne deshuesada de bovino procedente del Brasil, y aprueba el inicio de la emisión de permisos sanitarios de importación correspondientes.",NA
"LEX-FAOC143851","http://extwprlegs1.fao.org/docs/pdf/per143851.pdf","Resolución Nº 062-2014-MINAGRI-SENASA-DSV - Requisitos fitosanitarios para la importación de varas yemeras de cerezo procedentes de Chile.","2014","Cultivated plants","Plant protection, Pests/diseases, Planting material/seeds, Oleaginous plants, International trade","La presente Resolución establece los requisitos fitosanitarios específicos de necesario cumplimiento en la importación de varas yemeras de cerezo (Prunus avium (L.)L.) de origen y procedencia Chile, acompañadas de un certificado adicional que declare que se encuentran libres de Pseudomonas syringae pv. syringae, Podosphaera tridactyla, Apple chlorotic leaf spot virus, Arabis mosaic virus, Cherry greenring mottle virus, Cherry leaf roll virus, Prune dwarf virus, Pech latent mosaic viroid, Cherry",NA
"LEX-FAOC118844","http://extwprlegs1.fao.org/docs/pdf/per118844.pdf","Resolución Nº 016-2012-OEFA - Reglamento del Registro de Infractores Ambientales del Organismo de Evaluación y Fiscalización Ambiental (OEFA).","2012","Environment gen.","Institution, Registration, Offences/penalties, Ecosystem preservation, Environmental audit, EIA, Inspection","La presente Resolución aprueba el Reglamento del Registro de Infractores Ambientales (RINA) del Organismo de Evaluación y Fiscalización Ambiental (OEFA), que regule la implementación, contenido y funcionamiento del RINA, con la finalidad de propiciar la transparencia y difusión de la información relacionada a las sanciones impuestas por el OEFA.",NA
"LEX-FAOC104650","http://extwprlegs1.fao.org/docs/pdf/per104650.pdf","Ley Nº 29764 - Modifica el Decreto Legislativo Nº 1058, que promueve la inversión en la actividad de generación eléctrica con recursos hídricos y con otros recursos renovables.","2011","Energy","Energy conservation/energy production, Renewable energy, Hydropower generation, Subsidy/incentive","La presente Ley prorroga la vigencia del Beneficio Tributario aprobado por el Decreto Legislativo que promueve la inversión en la actividad de generación eléctrica con recursos hídricos y con otros recursos renovables, hasta el 31 de diciembre de 2020.",NA
"LEX-FAOC021822","http://extwprlegs1.fao.org/docs/texts/chi21822.doc","Ley Nº 19.604 - Establece incentivos a la agricultura.","1999","Land & soil","Agricultural land, Erosion, Soil conservation/soil improvement, Desertification, Soil rehabilitation, Soil pollution/quality, Subsidy/incentive, Fertilizers/nutrients, Saltwater intrusion/siltation, Flood, Agricultural development","La presente Ley, entre otras disposiciones, autoriza al Presidente de la República para que, dentro del plazo de ciento ochenta días, contados desde la fecha de su entrada en vigencia, dicte una o más normas con fuerza de ley para establecer un sistema de incentivos para la recuperación de suelos degradados y fije las sanciones para el caso de incumplimiento de los planes de manejo y de recepción indebida de los beneficios.",NA
"LEX-FAOC037631","http://extwprlegs1.fao.org/docs/texts/chi37631.doc","Resolución Nº 2.229 - Normas de ingreso de material biológico.","2001","Livestock, Wild species & ecosystems","Animal health, Apiculture/sericulture, Pests/diseases, Hygiene/sanitary procedures, International trade, Wild fauna, Ecosystem preservation, Aquatic animals, Alien species, Insects, Crustaceans, Molluscs, Amphibians","La presente Resolución prohíbe el ingreso al territorio nacional de artrópodos vivos terrestres o dulceacuícolas, pertenecientes a la clase Insecta, Arachnida, Diplopoda, Chilopoda, Pauropoda y Crustacea, moluscos terrestres o dulceacuícolas, invertebrados carentes de apéndices, tales como Nematoda y Anellida, plantas nocivas, hongos, bacterias, virus, viroides, micoplasmas o cualquier otra forma de organismo que en forma directa o indirecta pueda dañar las plantas o el medioambiente, exceptúand",NA
"LEX-FAOC063238","http://extwprlegs1.fao.org/docs/pdf/per63238.pdf","Resolución Nº 071/06/AG/SENASA - Normas para la prevención y control de Ántrax en áreas epizoóticas, enzoóticas y esporádicas del país.","2006","Livestock","Hygiene/sanitary procedures, Pests/diseases, Cattle, Vaccination, Early warning system/emergency intervention system","La presente Resolución aprueba las Normas para la prevención y control de Ántrax (Carbunco Bacteridiano o Fiebre Carbonosa) en áreas epizoóticas, enzoóticas y esporádicas del país, que tienen como finalidad establecer todas las actividades sanitarias destinadas al control, así como el procedimiento para la notificación urgente ante la sospecha de un brote de la enfermedad.",NA
"LEX-FAOC017907","http://extwprlegs1.fao.org/docs/texts/mex17907.doc","NOM-131-SSA1-1995: Especificaciones sanitarias y nutrimentales de alimentos para lactantes y niños de corta edad.","1997","Livestock, Food & nutrition","Food quality control/food safety, Breastfeeding/infant food, Nutrition, MRL-maximum residue limit, Residues, Hygiene/sanitary procedures, Drugs","Esta Norma establece las especificaciones sanitarias y nutrimentales que deben cumplir las fórmulas para lactantes y fórmulas de continuación, los alimentos envasados para lactantes y niños de corta edad y los alimentos a base de cereales para lactantes y niños de corta edad. Es de observancia obligatoria en el territorio nacional para las personas físicas y morales que se dedican a su proceso o importación.",NA
"LEX-FAOC036080","http://extwprlegs1.fao.org/docs/texts/chi36080.doc","Resolución Nº 178 - Declara a la XII Región libre de sarna ovina.","2000","Livestock","Animal health, Hygiene/sanitary procedures, Sheep/goats, Pests/diseases","La presente Resolución, considerando que los estudios epidemiológicos no han detectado desde 1998 la presencia del ácaro Psoroptes ovis en las provincias de la XII Región, las declaran zona libre de sarna ovina.",NA
"LEX-FAOC113455","http://extwprlegs1.fao.org/docs/pdf/per113455.pdf","Decreto Supremo Nº 010-2012-EM - Modifica el Reglamento del Mecanismo de compensación entre los usuarios del sistema eléctrico y el Reglamento de Transmisión.","2012","Energy","Energy conservation/energy production, Renewable energy, Hydropower generation, Transport/storage","El presente Decreto Supremo modifica el Reglamento del Mecanismo de compensación entre los usuarios regulados del Sistema Eléctrico Interconectado Nacional (SEIN) y el Reglamento de Transmisión, en aspectos relacionados con el cálculo de los precios a nivel de generación para usuarios regulados.",NA
"LEX-FAOC152351","http://extwprlegs1.fao.org/docs/pdf/per152351.pdf","Resolución Nº 036/15/MINAGRI/SENASA/DSV - Requisitos fitosanitarios para la importación de desperdicio de algodón de desmotadora procedente de los Estados Unidos de América.","2015","Cultivated plants","Plant protection, Textile plants/fibres, Pests/diseases, International trade, Hygiene/sanitary procedures","La presente Resolución establece los requisitos fitosanitarios específicos de necesario cumplimiento en la importación de desperdicio de algodón de desmotadora (linter) originario y procedente de los Estados Unidos de América, acompañado de una declaración adicional que certifique que el envío se encuentra libre de Anthonomus grandis.",NA
"LEX-FAOC165335","http://extwprlegs1.fao.org/docs/pdf/chi165335.pdf","Decreto Nº 306 - Modifica Decreto Nº 122 de 2014 del Ministerio de Agricultura, que aprueba el Reglamento especial para la uva vinífera, en el marco de la Ley Nº 20.656, que regula las transacciones comerciales de productos agropecuarios.","2016","Agricultural & rural development, Food & nutrition, Cultivated plants","Agricultural commodities, Internal trade, Viticulture/oenological practices","El presente Decreto introduce algunas enmiendas al decreto Nº 122 de 2014 en lo referente a las metodologías para la medición de la cantidad, masa o volumen de la uva vinífera y las metodologías a utilizar por los laboratorios de calibración en el desarrollo de su función, de conformidad con la Ley Nº 20.656 sobre transacciones comerciales de productos agropecuarios.",NA
"LEX-FAOC039690","http://extwprlegs1.fao.org/docs/texts/chi39690.doc","Resolución Nº 1.197 - Reconoce libre de fiebre aftosa el territorio argentino de la Isla de Tierra del Fuego.","2002","Livestock","Animal health, Hygiene/sanitary procedures, Pests/diseases, International trade","La presente Resolución reconoce el territorio argentino de la Isla de Tierra del Fuego como zona libre de fiebre aftosa donde no se practica la vacunación.",NA
