,keyword,sentence_ID,xlm_K-rank,xlm_K-sim,xlm_S-rank,xlm_S-sim,dist_K-rank,dist_K-sim,dist_S-rank,dist_S-sim
61,ayuda,15169f7_58,881,0.39,2,1.0,13,0.22,2,1.0
62,ayuda,17252d8_50,1843,0.35,2235,0.62,15000,0.0,15000,0.0
63,ayuda,29c84d6_47,1732,0.35,2912,0.6,15000,0.0,15000,0.0
64,ayuda,303730b_146,15000,0.0,15000,0.0,15000,0.0,15000,0.0
65,ayuda,323ef51_92,8815,0.24,6388,0.53,15000,0.0,15000,0.0
66,ayuda,4e220b5_119,744,0.39,3253,0.59,11,0.23,262,0.31
67,ayuda,66d8c54_62,882,0.39,3,1.0,14,0.22,3,1.0
68,ayuda,889f980_555,2863,0.32,6554,0.52,15000,0.0,15000,0.0
69,ayuda,8e81fe2_558,4921,0.29,9301,0.48,15000,0.0,15000,0.0
70,ayuda,930897c_161,2043,0.34,3069,0.6,15000,0.0,15000,0.0
71,ayuda,b8ff0ff_93,1425,0.36,1666,0.64,15000,0.0,15000,0.0
72,ayuda,e2bb383_230,2958,0.32,8280,0.5,15000,0.0,15000,0.0
73,ayuda,ea91c69_93,2044,0.34,3070,0.6,15000,0.0,15000,0.0
74,asistencia técnica,00a55af_79,1316,0.47,1,1.0,15000,0.0,1,1.0
75,asistencia técnica,15169f7_74,1408,0.47,2,1.0,15000,0.0,2,0.97
76,asistencia técnica,3416cbf_67,249,0.57,1209,0.61,64,0.28,1102,0.33
77,asistencia técnica,3c8c7a4_66,4642,0.38,545,0.66,82,0.27,15000,0.0
78,asistencia técnica,48bdadf_160,1023,0.49,414,0.67,30,0.32,1059,0.33
79,asistencia técnica,48bdadf_162,2880,0.41,2300,0.56,153,0.24,539,0.37
80,asistencia técnica,499d53d_51,787,0.5,4318,0.51,14,0.4,1488,0.31
81,asistencia técnica,66d8c54_80,1409,0.47,3,1.0,15000,0.0,3,0.97
82,asistencia técnica,6a85bfd_11,15000,0.0,368,0.68,15000,0.0,557,0.37
83,asistencia técnica,7eab6c1_52,183,0.58,612,0.65,17,0.37,3057,0.27
84,asistencia técnica,88ad2ff_51,184,0.58,613,0.65,18,0.37,3058,0.27
85,asistencia técnica,901a837_63,8211,0.33,702,0.64,163,0.24,235,0.41
86,asistencia técnica,901a837_81,6220,0.35,564,0.66,177,0.23,979,0.34
87,asistencia técnica,902bedc_41,3571,0.4,1402,0.6,314,0.2,1750,0.3
88,asistencia técnica,902bedc_58,4050,0.39,503,0.66,86,0.27,15000,0.0
89,asistencia técnica,b8dd82f_15,2616,0.42,390,0.68,155,0.24,141,0.43
90,asistencia técnica,e18d168_244,15000,0.0,6979,0.45,15000,0.0,3784,0.25
91,asistencia técnica,e18d168_247,15000,0.0,4105,0.51,40,0.31,1063,0.33
92,asistencia técnica,ee138a1_13,15000,0.0,8349,0.42,44,0.3,4257,0.24
93,bono,00a55af_80,15000,0.0,1,1.0,15000,0.0,1,1.0
94,bono,15169f7_75,15000,0.0,2,1.0,15000,0.0,2,0.99
95,bono,66d8c54_81,15000,0.0,6,0.86,15000,0.0,3,0.78
96,bono,d44820b_34,15000,0.0,9703,0.45,15000,0.0,15000,0.0
97,bono,d44820b_51,15000,0.0,6521,0.5,15000,0.0,15000,0.0
98,multa,029d411_78,15000,0.0,1761,0.53,15000,0.0,58,0.52
99,multa,029d411_88,15000,0.0,1,1.0,15000,0.0,1,1.0
100,multa,029d411_89,15000,0.0,8,0.95,15000,0.0,8,0.86
101,multa,029d411_90,15000,0.0,11,0.84,15000,0.0,11,0.78
102,multa,029d411_91,8377,0.28,383,0.6,15000,0.0,991,0.35
103,multa,029d411_92,15000,0.0,3776,0.48,15000,0.0,2722,0.29
104,multa,029d411_118,15000,0.0,1342,0.54,15000,0.0,2359,0.3
105,multa,029d411_147,15000,0.0,530,0.59,15000,0.0,1531,0.32
106,multa,03a83f8_64,15000,0.0,3460,0.49,15000,0.0,503,0.39
107,multa,03a83f8_67,15000,0.0,2572,0.51,15000,0.0,135,0.46
108,multa,03a83f8_71,15000,0.0,15000,0.0,15000,0.0,1441,0.33
109,multa,03a83f8_72,6415,0.31,5794,0.45,15000,0.0,15000,0.0
110,multa,03a83f8_74,15000,0.0,47,0.7,15000,0.0,26,0.56
111,multa,03a83f8_75,15000,0.0,7554,0.42,15000,0.0,6827,0.23
112,multa,03a83f8_83,15000,0.0,1671,0.53,15000,0.0,1809,0.31
113,multa,04731ac_83,15000,0.0,2048,0.52,15000,0.0,8921,0.21
114,multa,04731ac_87,3572,0.36,8246,0.41,15000,0.0,7003,0.23
115,multa,04731ac_89,15000,0.0,1160,0.55,15000,0.0,3905,0.27
116,multa,04731ac_91,5868,0.31,15000,0.0,15000,0.0,7096,0.23
117,multa,04731ac_92,15000,0.0,15000,0.0,15000,0.0,15000,0.0
118,multa,04731ac_94,6999,0.3,15000,0.0,15000,0.0,15000,0.0
119,multa,04731ac_96,15000,0.0,15000,0.0,15000,0.0,15000,0.0
120,multa,04731ac_98,15000,0.0,510,0.59,15000,0.0,241,0.43
121,multa,05f5ba4_120,15000,0.0,3038,0.5,15000,0.0,972,0.35
122,multa,05f5ba4_121,15000,0.0,6398,0.44,15000,0.0,2448,0.3
123,multa,05f5ba4_122,15000,0.0,15000,0.0,15000,0.0,3201,0.28
124,multa,060720b_100,15000,0.0,66,0.68,15000,0.0,690,0.38
125,multa,060720b_106,15000,0.0,6469,0.44,15000,0.0,6384,0.23
126,multa,060720b_115,336,0.51,9593,0.39,15000,0.0,9137,0.21
127,multa,074b95f_65,15000,0.0,5796,0.45,15000,0.0,428,0.4
128,multa,074b95f_67,15000,0.0,15000,0.0,15000,0.0,2715,0.29
129,multa,074b95f_78,15000,0.0,15000,0.0,15000,0.0,1211,0.34
130,multa,074b95f_79,15000,0.0,15000,0.0,15000,0.0,15000,0.0
131,multa,074b95f_81,15000,0.0,6599,0.43,15000,0.0,5761,0.24
132,multa,074b95f_82,15000,0.0,48,0.7,15000,0.0,27,0.56
133,multa,07d1de2_53,15000,0.0,2450,0.51,15000,0.0,61,0.51
134,multa,07d1de2_63,15000,0.0,5,0.99,15000,0.0,5,0.89
135,multa,07d1de2_64,15000,0.0,9,0.94,15000,0.0,9,0.81
136,multa,07d1de2_65,15000,0.0,13,0.8,15000,0.0,14,0.71
137,multa,07d1de2_66,15000,0.0,1064,0.55,15000,0.0,557,0.39
138,multa,07d1de2_67,15000,0.0,2986,0.5,15000,0.0,2898,0.29
139,multa,092e4c7_23,15000,0.0,5159,0.46,15000,0.0,15000,0.0
140,multa,092e4c7_45,15000,0.0,143,0.65,15000,0.0,1079,0.35
141,multa,092e4c7_53,15000,0.0,349,0.6,15000,0.0,4604,0.26
142,multa,092e4c7_68,15000,0.0,7202,0.43,15000,0.0,708,0.37
143,multa,092e4c7_76,15000,0.0,3424,0.49,15000,0.0,1841,0.31
144,multa,092e4c7_82,15000,0.0,2162,0.52,15000,0.0,1922,0.31
145,multa,092e4c7_87,15000,0.0,2038,0.52,15000,0.0,784,0.37
146,multa,092e4c7_89,15000,0.0,1925,0.53,15000,0.0,7440,0.22
147,multa,092e4c7_137,9229,0.27,1633,0.53,15000,0.0,3470,0.27
148,multa,092e4c7_138,15000,0.0,350,0.6,15000,0.0,8884,0.21
149,multa,092e4c7_139,8340,0.28,1634,0.53,15000,0.0,15000,0.0
150,multa,092e4c7_140,15000,0.0,5560,0.45,15000,0.0,1251,0.34
151,multa,092e4c7_141,15000,0.0,15000,0.0,15000,0.0,2446,0.3
152,multa,092e4c7_149,15000,0.0,3952,0.48,15000,0.0,9185,0.2
153,multa,092e4c7_152,15000,0.0,1754,0.53,15000,0.0,3610,0.27
154,multa,092e4c7_154,15000,0.0,462,0.59,15000,0.0,3062,0.28
155,multa,092e4c7_159,15000,0.0,1926,0.53,15000,0.0,3883,0.27
156,multa,092e4c7_161,15000,0.0,267,0.61,15000,0.0,836,0.36
157,multa,092e4c7_167,15000,0.0,2906,0.5,15000,0.0,998,0.35
158,multa,092e4c7_168,15000,0.0,15000,0.0,15000,0.0,2036,0.31
159,multa,092e4c7_169,987,0.45,15000,0.0,15000,0.0,4476,0.26
160,multa,092e4c7_170,5078,0.33,1119,0.55,15000,0.0,4303,0.26
161,multa,0c5f5ad_567,15000,0.0,54,0.69,15000,0.0,50,0.53
162,multa,0c5f5ad_576,15000,0.0,15000,0.0,15000,0.0,4728,0.25
163,multa,0c5f5ad_577,15000,0.0,1017,0.56,15000,0.0,1978,0.31
164,multa,0c5f5ad_580,15000,0.0,2475,0.51,15000,0.0,5969,0.24
165,multa,0cc5362_28,15000,0.0,4562,0.47,15000,0.0,1488,0.33
166,multa,0cc5362_29,15000,0.0,1672,0.53,15000,0.0,959,0.35
167,multa,0cc5362_30,15000,0.0,2042,0.52,15000,0.0,2553,0.29
168,multa,0cc5362_31,15000,0.0,1683,0.53,15000,0.0,2392,0.3
169,multa,0cc5362_32,15000,0.0,4283,0.47,15000,0.0,6163,0.23
170,multa,0cc5362_33,15000,0.0,15000,0.0,15000,0.0,8945,0.21
171,multa,0cc5362_34,15000,0.0,15000,0.0,15000,0.0,1725,0.32
172,multa,0cc5362_37,15000,0.0,1262,0.55,15000,0.0,919,0.36
173,multa,0cc5362_38,15000,0.0,768,0.57,15000,0.0,751,0.37
174,multa,0cc5362_39,15000,0.0,605,0.58,15000,0.0,578,0.39
175,multa,0cc5362_40,15000,0.0,1306,0.55,15000,0.0,273,0.42
176,multa,0cc5362_46,8229,0.28,1150,0.55,15000,0.0,15000,0.0
177,multa,0cc5362_47,15000,0.0,4353,0.47,15000,0.0,906,0.36
178,multa,0cc5362_48,3101,0.37,15000,0.0,15000,0.0,15000,0.0
179,multa,0cc5362_56,337,0.51,9594,0.39,15000,0.0,9138,0.21
180,multa,0cc5362_57,15000,0.0,15000,0.0,15000,0.0,636,0.38
181,multa,0cc5362_64,9852,0.27,15000,0.0,15000,0.0,7303,0.22
182,multa,0cc5362_65,5224,0.32,3800,0.48,15000,0.0,3420,0.28
183,multa,0cc5362_66,15000,0.0,3275,0.49,15000,0.0,15000,0.0
184,multa,0cc5362_67,15000,0.0,2336,0.52,15000,0.0,1806,0.32
185,multa,0cc5362_68,9072,0.28,15000,0.0,15000,0.0,1405,0.33
186,multa,0cc5362_70,15000,0.0,763,0.57,15000,0.0,239,0.43
187,multa,0d090c5_49,2683,0.38,6884,0.43,15000,0.0,2730,0.29
188,multa,0d090c5_51,15000,0.0,189,0.63,15000,0.0,900,0.36
189,multa,0d090c5_57,15000,0.0,4195,0.47,15000,0.0,4173,0.26
190,multa,0d090c5_62,15000,0.0,9200,0.4,15000,0.0,65,0.51
191,multa,0d090c5_63,15000,0.0,765,0.57,15000,0.0,4207,0.26
192,multa,0d090c5_64,15000,0.0,9559,0.4,15000,0.0,911,0.36
193,multa,0d090c5_65,15000,0.0,15000,0.0,15000,0.0,15000,0.0
194,multa,0d090c5_66,3958,0.35,4837,0.46,15000,0.0,1395,0.33
195,multa,0d090c5_67,15000,0.0,2954,0.5,15000,0.0,3131,0.28
196,multa,0d090c5_68,15000,0.0,9254,0.4,15000,0.0,1114,0.35
197,multa,0d090c5_69,15000,0.0,5897,0.45,15000,0.0,1121,0.34
198,multa,0d090c5_70,227,0.54,9713,0.39,15000,0.0,15000,0.0
199,multa,0d090c5_71,15000,0.0,15000,0.0,15000,0.0,318,0.42
200,multa,0d090c5_72,15000,0.0,8110,0.41,15000,0.0,15000,0.0
201,multa,0eab4fd_38,15000,0.0,15000,0.0,15000,0.0,15000,0.0
202,multa,0eab4fd_48,15000,0.0,1704,0.53,15000,0.0,5137,0.25
203,multa,0eab4fd_59,15000,0.0,1231,0.55,15000,0.0,9483,0.2
204,multa,0eab4fd_63,1261,0.43,1976,0.52,15000,0.0,15000,0.0
205,multa,0eab4fd_69,15000,0.0,3544,0.48,15000,0.0,1739,0.32
206,multa,0eab4fd_75,15000,0.0,1436,0.54,15000,0.0,1460,0.33
207,multa,0eab4fd_76,15000,0.0,532,0.59,15000,0.0,2431,0.3
208,multa,0eab4fd_77,15000,0.0,8829,0.4,15000,0.0,6110,0.24
209,multa,0eab4fd_78,15000,0.0,2429,0.51,15000,0.0,1364,0.33
210,multa,0eab4fd_84,15000,0.0,1994,0.52,15000,0.0,102,0.48
211,multa,0eab4fd_86,4290,0.34,5267,0.46,15000,0.0,7490,0.22
212,multa,0eab4fd_87,15000,0.0,15000,0.0,15000,0.0,15000,0.0
213,multa,0eab4fd_92,15000,0.0,15000,0.0,15000,0.0,4098,0.26
214,multa,0eab4fd_95,15000,0.0,1701,0.53,15000,0.0,140,0.46
215,multa,0eab4fd_101,15000,0.0,5193,0.46,15000,0.0,2856,0.29
216,multa,0eab4fd_110,15000,0.0,15000,0.0,15000,0.0,15000,0.0
217,multa,0eab4fd_119,15000,0.0,3148,0.49,15000,0.0,726,0.37
218,multa,0febf9d_17,15000,0.0,15000,0.0,15000,0.0,2082,0.31
219,multa,0febf9d_19,15000,0.0,9363,0.4,15000,0.0,1325,0.33
220,multa,0febf9d_23,15000,0.0,6153,0.44,15000,0.0,472,0.4
221,multa,0febf9d_26,15000,0.0,3234,0.49,15000,0.0,6285,0.23
222,multa,0febf9d_32,15000,0.0,3419,0.49,15000,0.0,4858,0.25
223,multa,12244f1_114,15000,0.0,65,0.68,15000,0.0,73,0.5
224,multa,12244f1_121,15000,0.0,39,0.72,15000,0.0,32,0.56
225,multa,12244f1_131,15000,0.0,6405,0.44,15000,0.0,2652,0.29
226,multa,12244f1_137,240,0.54,15000,0.0,15000,0.0,7008,0.23
227,multa,12244f1_139,15000,0.0,15000,0.0,15000,0.0,3095,0.28
228,multa,12244f1_140,15000,0.0,15000,0.0,15000,0.0,15000,0.0
229,multa,12244f1_154,15000,0.0,1357,0.54,15000,0.0,5664,0.24
230,multa,12b24f9_46,15000,0.0,15000,0.0,15000,0.0,15000,0.0
231,multa,12b24f9_54,15000,0.0,1399,0.54,15000,0.0,5609,0.24
232,multa,12b24f9_68,1834,0.41,1739,0.53,15000,0.0,15000,0.0
233,multa,12b24f9_82,15000,0.0,446,0.59,15000,0.0,3002,0.28
234,multa,12b24f9_83,15000,0.0,478,0.59,15000,0.0,1956,0.31
235,multa,12b24f9_84,15000,0.0,9688,0.39,15000,0.0,6000,0.24
236,multa,12b24f9_88,15000,0.0,2147,0.52,15000,0.0,581,0.39
237,multa,12b24f9_89,4291,0.34,5268,0.46,15000,0.0,7491,0.22
238,multa,12b24f9_90,15000,0.0,15000,0.0,15000,0.0,871,0.36
239,multa,12b24f9_91,15000,0.0,233,0.62,15000,0.0,476,0.4
240,multa,12b24f9_92,15000,0.0,5192,0.46,15000,0.0,1556,0.32
241,multa,12b24f9_93,15000,0.0,665,0.58,15000,0.0,951,0.36
242,multa,12b24f9_96,15000,0.0,5951,0.44,15000,0.0,5467,0.24
243,multa,12b24f9_99,5929,0.31,2431,0.51,15000,0.0,5735,0.24
244,multa,12b24f9_100,15000,0.0,15000,0.0,15000,0.0,7280,0.22
245,multa,12b24f9_101,15000,0.0,759,0.57,15000,0.0,1199,0.34
246,multa,12b24f9_109,15000,0.0,5795,0.45,15000,0.0,2300,0.3
247,multa,12b24f9_130,15000,0.0,15000,0.0,15000,0.0,1587,0.32
248,multa,135664a_55,15000,0.0,174,0.63,15000,0.0,132,0.46
249,multa,135664a_61,15000,0.0,824,0.57,15000,0.0,236,0.43
250,multa,135664a_74,15000,0.0,124,0.65,15000,0.0,3285,0.28
251,multa,135664a_75,15000,0.0,2743,0.51,15000,0.0,9044,0.21
252,multa,135664a_77,8826,0.28,15000,0.0,15000,0.0,892,0.36
253,multa,1555e55_104,15000,0.0,2049,0.52,15000,0.0,8922,0.21
254,multa,1555e55_117,15000,0.0,7972,0.42,15000,0.0,15000,0.0
255,multa,1555e55_120,15000,0.0,8566,0.41,15000,0.0,367,0.41
256,multa,1555e55_122,15000,0.0,7500,0.42,15000,0.0,8079,0.22
257,multa,1555e55_124,2764,0.38,15000,0.0,15000,0.0,15000,0.0
258,multa,1555e55_127,15000,0.0,7267,0.42,15000,0.0,15000,0.0
259,multa,1555e55_128,15000,0.0,511,0.59,15000,0.0,242,0.43
260,multa,15ba809_55,15000,0.0,552,0.58,15000,0.0,182,0.44
261,multa,15ba809_61,9227,0.27,470,0.59,15000,0.0,8868,0.21
262,multa,15ba809_64,4662,0.33,3488,0.49,15000,0.0,7405,0.22
263,multa,15ba809_81,2772,0.38,9053,0.4,15000,0.0,3839,0.27
264,multa,161d1f4_21,15000,0.0,655,0.58,15000,0.0,173,0.44
265,multa,161d1f4_81,15000,0.0,1446,0.54,15000,0.0,2590,0.29
266,multa,161d1f4_91,15000,0.0,720,0.57,15000,0.0,1759,0.32
267,multa,161d1f4_138,15000,0.0,265,0.61,15000,0.0,5330,0.25
268,multa,161d1f4_181,15000,0.0,990,0.56,15000,0.0,760,0.37
269,multa,161d1f4_190,15000,0.0,15000,0.0,15000,0.0,3587,0.27
270,multa,161d1f4_201,15000,0.0,15000,0.0,15000,0.0,3113,0.28
271,multa,161d1f4_207,15000,0.0,788,0.57,15000,0.0,8391,0.21
272,multa,161d1f4_208,230,0.54,6904,0.43,15000,0.0,15000,0.0
273,multa,161d1f4_211,15000,0.0,2822,0.5,15000,0.0,8349,0.21
274,multa,161d1f4_214,15000,0.0,15000,0.0,15000,0.0,68,0.5
275,multa,17252d8_82,15000,0.0,991,0.56,15000,0.0,1536,0.32
276,multa,17252d8_84,15000,0.0,7371,0.42,15000,0.0,4060,0.26
277,multa,17252d8_93,9775,0.27,15000,0.0,15000,0.0,1073,0.35
278,multa,17252d8_95,15000,0.0,3185,0.49,15000,0.0,128,0.46
279,multa,17252d8_96,15000,0.0,14,0.8,15000,0.0,16,0.65
280,multa,19a0f82_198,15000,0.0,69,0.67,15000,0.0,635,0.38
281,multa,19a0f82_208,15000,0.0,4967,0.46,15000,0.0,100,0.48
282,multa,19a0f82_209,15000,0.0,15000,0.0,15000,0.0,15000,0.0
283,multa,19a0f82_216,15000,0.0,345,0.6,15000,0.0,1171,0.34
284,multa,19a0f82_217,15000,0.0,6753,0.43,15000,0.0,15000,0.0
285,multa,19a0f82_226,338,0.51,9595,0.39,15000,0.0,9139,0.21
286,multa,19a0f82_231,15000,0.0,1545,0.54,15000,0.0,1028,0.35
287,multa,1a77612_109,9524,0.27,898,0.56,15000,0.0,451,0.4
288,multa,1a77612_110,15000,0.0,4943,0.46,15000,0.0,3244,0.28
289,multa,1a77612_132,8639,0.28,7703,0.42,15000,0.0,3611,0.27
290,multa,1a77612_137,15000,0.0,15000,0.0,15000,0.0,4546,0.26
291,multa,1a77612_140,15000,0.0,366,0.6,15000,0.0,524,0.39
292,multa,1a77612_141,15000,0.0,3673,0.48,15000,0.0,705,0.37
293,multa,1a77612_153,698,0.48,15000,0.0,15000,0.0,9007,0.21
294,multa,1b7669f_97,15000,0.0,2,1.0,15000,0.0,2,1.0
295,multa,1b7669f_98,15000,0.0,7,0.95,15000,0.0,6,0.89
296,multa,1b7669f_99,15000,0.0,12,0.84,15000,0.0,12,0.78
297,multa,1b7669f_100,15000,0.0,1264,0.55,15000,0.0,599,0.38
298,multa,1b7669f_101,15000,0.0,3777,0.48,15000,0.0,2723,0.29
299,multa,1b7669f_152,15000,0.0,551,0.58,15000,0.0,1529,0.32
300,multa,1f15406_101,15000,0.0,4740,0.46,15000,0.0,15000,0.0
301,multa,1f15406_305,15000,0.0,499,0.59,15000,0.0,5501,0.24
302,multa,1f15406_343,15000,0.0,4361,0.47,15000,0.0,490,0.39
303,multa,1f15406_402,15000,0.0,196,0.63,15000,0.0,2680,0.29
304,multa,1f15406_403,15000,0.0,165,0.64,15000,0.0,5584,0.24
305,multa,1f15406_404,8454,0.28,652,0.58,15000,0.0,15000,0.0
306,multa,1f15406_405,15000,0.0,3105,0.49,15000,0.0,8849,0.21
307,multa,1f15406_412,15000,0.0,1891,0.53,15000,0.0,317,0.42
308,multa,1f15406_415,15000,0.0,3953,0.48,15000,0.0,9186,0.2
309,multa,1f15406_418,15000,0.0,4912,0.46,15000,0.0,1551,0.32
310,multa,1f15406_419,15000,0.0,877,0.56,15000,0.0,651,0.38
311,multa,1f15406_421,15000,0.0,333,0.6,15000,0.0,1476,0.33
312,multa,1f15406_425,15000,0.0,2722,0.51,15000,0.0,152,0.45
313,multa,1f15406_431,7989,0.29,3609,0.48,15000,0.0,1336,0.33
314,multa,1f15406_432,15000,0.0,15000,0.0,15000,0.0,2214,0.3
315,multa,1f15406_433,988,0.45,15000,0.0,15000,0.0,4477,0.26
316,multa,1ffdee7_104,15000,0.0,6422,0.44,15000,0.0,15000,0.0
317,multa,1ffdee7_125,15000,0.0,425,0.6,15000,0.0,4277,0.26
318,multa,1ffdee7_140,15000,0.0,5430,0.45,15000,0.0,15000,0.0
319,multa,1ffdee7_156,15000,0.0,4516,0.47,15000,0.0,422,0.4
320,multa,1ffdee7_193,15000,0.0,197,0.63,15000,0.0,2681,0.29
321,multa,1ffdee7_194,15000,0.0,185,0.63,15000,0.0,9419,0.2
322,multa,1ffdee7_197,15000,0.0,2315,0.52,15000,0.0,402,0.41
323,multa,1ffdee7_198,15000,0.0,3766,0.48,15000,0.0,9211,0.2
324,multa,1ffdee7_200,15000,0.0,5136,0.46,15000,0.0,1519,0.32
325,multa,1ffdee7_205,15000,0.0,777,0.57,15000,0.0,368,0.41
326,multa,1ffdee7_209,8468,0.28,3260,0.49,15000,0.0,1626,0.32
327,multa,1ffdee7_210,15000,0.0,15000,0.0,15000,0.0,2215,0.3
328,multa,1ffdee7_211,989,0.45,15000,0.0,15000,0.0,4478,0.26
329,multa,218c0d0_69,2232,0.39,4103,0.47,15000,0.0,15000,0.0
330,multa,218c0d0_79,15000,0.0,5344,0.46,15000,0.0,2320,0.3
331,multa,218c0d0_98,15000,0.0,4244,0.47,15000,0.0,4839,0.25
332,multa,218c0d0_99,15000,0.0,533,0.59,15000,0.0,2432,0.3
333,multa,218c0d0_100,15000,0.0,7669,0.42,15000,0.0,5854,0.24
334,multa,218c0d0_106,4292,0.34,5269,0.46,15000,0.0,7492,0.22
335,multa,218c0d0_107,15000,0.0,15000,0.0,15000,0.0,872,0.36
336,multa,218c0d0_108,15000,0.0,286,0.61,15000,0.0,512,0.39
337,multa,218c0d0_109,15000,0.0,4084,0.47,15000,0.0,1565,0.32
338,multa,218c0d0_110,15000,0.0,666,0.58,15000,0.0,952,0.36
339,multa,218c0d0_114,15000,0.0,5952,0.44,15000,0.0,5468,0.24
340,multa,218c0d0_117,15000,0.0,3060,0.5,15000,0.0,2205,0.3
