,keyword,sentence_ID,xlm_K-rank,xlm_K-sim,xlm_S-rank,xlm_S-sim,dist_K-rank,dist_K-sim,dist_S-rank,dist_S-sim
628,multa,4e22213_77,2773,0.38,412,0.57,15000,0.0,624,0.42
629,multa,4e77902_218,15000,0.0,1800,0.46,15000,0.0,1634,0.33
630,multa,50f28b4_45,15000,0.0,921,0.51,15000,0.0,1630,0.33
631,multa,50f28b4_72,15000,0.0,3312,0.4,15000,0.0,15000,0.0
632,multa,50f28b4_75,15000,0.0,3808,0.39,15000,0.0,4003,0.23
633,multa,50f28b4_76,15000,0.0,4156,0.38,15000,0.0,2493,0.29
634,multa,50f28b4_77,15000,0.0,54,0.67,15000,0.0,83,0.61
635,multa,50f28b4_78,7893,0.29,1238,0.49,15000,0.0,1226,0.35
636,multa,50f28b4_79,8344,0.28,311,0.58,15000,0.0,847,0.39
637,multa,50f28b4_80,2699,0.38,303,0.58,15000,0.0,4273,0.22
638,multa,50f28b4_85,15000,0.0,823,0.52,15000,0.0,544,0.44
639,multa,50f28b4_86,15000,0.0,240,0.6,15000,0.0,587,0.43
640,multa,51a0d9e_50,5086,0.33,1995,0.45,15000,0.0,2319,0.29
641,multa,51a0d9e_51,15000,0.0,2713,0.42,15000,0.0,1476,0.34
642,multa,51a0d9e_56,15000,0.0,7373,0.32,15000,0.0,2583,0.28
643,multa,51a0d9e_64,15000,0.0,27,0.71,15000,0.0,114,0.59
644,multa,51a0d9e_66,15000,0.0,2537,0.43,15000,0.0,1933,0.31
645,multa,51a0d9e_68,15000,0.0,363,0.58,15000,0.0,489,0.45
646,multa,51a0d9e_70,15000,0.0,2841,0.42,15000,0.0,15000,0.0
647,multa,51a0d9e_71,3960,0.35,469,0.56,15000,0.0,1394,0.34
648,multa,51a0d9e_72,15000,0.0,104,0.64,15000,0.0,248,0.53
649,multa,51a0d9e_73,15000,0.0,510,0.55,15000,0.0,962,0.38
650,multa,51a0d9e_74,15000,0.0,239,0.6,15000,0.0,793,0.4
651,multa,51a0d9e_75,265,0.53,2565,0.43,15000,0.0,4018,0.23
652,multa,51a0d9e_76,15000,0.0,33,0.7,15000,0.0,17,0.69
653,multa,51a0d9e_77,15000,0.0,214,0.6,15000,0.0,1747,0.32
654,multa,5295ca3_42,15000,0.0,3007,0.41,15000,0.0,15000,0.0
655,multa,5295ca3_44,15000,0.0,2733,0.42,15000,0.0,2242,0.3
656,multa,5295ca3_45,15000,0.0,4157,0.38,15000,0.0,2494,0.29
657,multa,5295ca3_46,15000,0.0,55,0.67,15000,0.0,84,0.61
658,multa,5295ca3_47,7894,0.29,1239,0.49,15000,0.0,1227,0.35
659,multa,5295ca3_48,8345,0.28,312,0.58,15000,0.0,848,0.39
660,multa,5295ca3_53,15000,0.0,639,0.54,15000,0.0,3097,0.26
661,multa,5295ca3_54,6134,0.31,864,0.52,15000,0.0,752,0.4
662,multa,5295ca3_55,15000,0.0,270,0.59,15000,0.0,1275,0.35
663,multa,545e813_25,15000,0.0,337,0.58,15000,0.0,328,0.5
664,multa,545e813_26,15000,0.0,246,0.59,15000,0.0,586,0.43
665,multa,545e813_27,15000,0.0,29,0.71,15000,0.0,321,0.5
666,multa,55b3aab_338,15000,0.0,5277,0.36,15000,0.0,1043,0.37
667,multa,55b3aab_361,15000,0.0,5372,0.36,15000,0.0,1386,0.34
668,multa,55b3aab_362,15000,0.0,5065,0.37,15000,0.0,3018,0.26
669,multa,55b3aab_363,15000,0.0,2951,0.42,15000,0.0,2256,0.3
670,multa,55b3aab_370,15000,0.0,2153,0.45,15000,0.0,4034,0.23
671,multa,55fdbb4_83,15000,0.0,1707,0.47,15000,0.0,495,0.45
672,multa,55fdbb4_505,15000,0.0,3396,0.4,15000,0.0,1723,0.32
673,multa,55fdbb4_506,8245,0.28,2961,0.41,15000,0.0,2044,0.31
674,multa,55fdbb4_507,5118,0.33,1998,0.45,15000,0.0,3035,0.26
675,multa,55fdbb4_85,15000,0.0,798,0.52,15000,0.0,718,0.41
676,multa,55fdbb4_86,15000,0.0,15000,0.0,15000,0.0,4549,0.21
677,multa,55fdbb4_88,15000,0.0,195,0.61,15000,0.0,528,0.44
678,multa,55fdbb4_96,3197,0.36,916,0.51,15000,0.0,1015,0.37
